"Costs for inland shipping","Kosten für Inlandversand"
"Costs for inland shipping (minimum)","Kosten für Inlandversand (Minimum)"
"Costs for shipping to foreign countries","Kosten für Auslandsversand"
"Costs for shipping to foreign countries (minimum)","Kosten für Auslandsversand (Minimum)"
"Custom text for checkout page","Eigener Text"
"Cash on Delivery","Nachnahme"
"Cash on Delivery fee","Nachnahmegebühr"
"You will be charged an extra fee of %s.","Eine Nachnahmegebühr von %s wird erhoben."
"Incl. Tax","inkl. Steuern"
"Cash on Delivery fee (Excl.Tax)","Nachnahmegebühr (exkl. Steuern)"
"Cash on Delivery fee (Incl.Tax)","Nachnahmegebühr (inkl. Steuern)"
"Cash on Delivery fee %s","Nachnahmegebühr %s"
"Refund Cash on Delivery fee","Nachnahmegebühr erstatten"
"Cost calculation","Berechnungsart der Gebühr"
"Fixed","Fix"
"Percentage","Prozentual"
"Cost calculation base","Berechnungsbasis der Gebühr"
"Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation.","Bitte geben Sie hier ein Merkmalkode sales_flat_quote_address ein, dessen Wert als Basis für die prozentuale Kosten&shy;rechnung genommen wird."
"Cash on Delivery Tax","Nachnahme Steuer"
"Display Zero Fee","Nulltarif anzeigen"
"Invoice Order","Automatische Rechnungs&shy;erstellung"
"Disallow specific shipping methods","Bestimmte Versandmethoden ausschließen"
"Disallowed shipping methods","Ausgeschlossene Versandmethoden"
