"Costs for inland shipping","Kόστος για εγχώρια αποστολή"
"Costs for shipping to foreign countries","Kόστος για αποστολή σε ξένες χώρες"
"Custom text for checkout page","Προσαρμοσμένο κείμενο για την σελίδα ολοκλήρωσης της παραγγελίας"
"Cash on Delivery","Cash on Delivery"
"Cash on Delivery fee","Φόρος Αντικαταβολής"
"You will be charged an extra fee of %s.","Θα χρεωθείτε επιπλέον %s για τα έξοδα αντικαταβολής"
"Incl. Tax","Συμπ. ΦΠΑ"
"Cash on Delivery fee (Excl.Tax)","Φόρος Αντικαταβολής (Χωρίς ΦΠΑ)"
"Cash on Delivery fee (Incl.Tax)","Φόρος Αντικαταβολής (Συμπ. ΦΠΑ)"
"Cash on Delivery fee %s","Φόρος Αντικαταβολής %s"
"Refund Cash on Delivery fee","Refund Cash on Delivery fee"
