"Costs for inland shipping","Costs for inland shipping"
"Costs for shipping to foreign countries","Costs for shipping to foreign countries"
"Custom text for checkout page","Custom text for checkout page"
"Cash on Delivery","Cash on Delivery"
"Cash on Delivery fee","Cash on Delivery fee"
"You will be charged an extra fee of %s.","You will be charged an extra fee of %s."
"Incl. Tax","Incl. Tax"
"Cash on Delivery fee (Excl.Tax)","Cash on Delivery fee (Excl.Tax)"
"Cash on Delivery fee (Incl.Tax)","Cash on Delivery fee (Incl.Tax)"
"Cash on Delivery fee %s","Cash on Delivery fee %s"
"Refund Cash on Delivery fee","Refund Cash on Delivery fee"
