"Costs for inland shipping","Coste para envío nacional"
"Costs for inland shipping (minimum)","Coste para envío nacional (mínimo)"
"Costs for shipping to foreign countries","Coste para envío internacional"
"Costs for shipping to foreign countries (minimum)","Coste para envío internacional (mínimo)"
"Custom text for checkout page","Texto personalizado para el carrito"
"Cash on Delivery","Contrareembolso"
"Cash on Delivery fee","Recargo por contrareembolso"
"You will be charged an extra fee of %s.","Se te cargará un extra de %s."
"Incl. Tax","Impuestos incluidos"
"Cash on Delivery fee (Excl.Tax)","Contrareembolso (impuestos excluidos)"
"Cash on Delivery fee (Incl.Tax)","Contrareembolso (impuestos incluidos)"
"Cash on Delivery fee %s","Contrareembolso %s"
"Refund Cash on Delivery fee","Reintegro de recargo por contrareembolso"
"Cost calculation","Cálculo del coste"
"Fixed","Fijo"
"Percentage","Porcentaje"
"Cost calculation base","Base para el cálculo"
"Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation.","Por favor, introduce el nombre de un campo del modelo sales_flat_quote_address que se usará como base para el cálculo."
"Refund Cash on Delivery fee","Reintegro de recargo por contrareembolso"
