"Costs for inland shipping","Costi per la spedizione all'interno del territorio nazionale"
"Costs for inland shipping (minimum)","Costi per la spedizione all'interno del territorio nazionale (minimo)"
"Costs for shipping to foreign countries","Costi per la spedizione fuori dal territorio nazionale"
"Costs for shipping to foreign countries (minimum)","Costi per la spedizione fuori dal territorio nazionale (minimo)"
"Custom text for checkout page","Testo personalizzato per la pagina di checkout"
"Cash on Delivery","Contrassegno alla consegna"
"Cash on Delivery fee","Costo del Contrassegno alla consegna"
"You will be charged an extra fee of %s.","Verrà addebitato un costo aggiuntivo di %s."
"Incl. Tax","Incl. Tasse"
"Cash on Delivery fee (Excl.Tax)","Costo del Contrassegno (Escluse Tasse)"
"Cash on Delivery fee (Incl.Tax)","Costo del Contrassegno (Incluse Tasse)"
"Cash on Delivery fee %s","Costo Contrassegno %s"
"Refund Cash on Delivery fee","Rimborso del costo del contrassegno"
"Cost calculation","Calcolo costo"
"Fixed","Fisso"
"Percentage","Percentuale"
"Cost calculation base","Calcolo del costo di base"
"Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation.","Inserire un attributo con il codice sales_flat_quote_address il quale verrà usato come base per il calcolo dei costi"
"Refund Cash on Delivery fee","Rimborsa il costo del contrassegno"
