"Cash on Delivery","Pagamento contra entrega"
"Cash on Delivery fee","Taxa para pagamento na entrega"
"Cash on Delivery fee (Excl.Tax)","Taxa para pagamento na entrega (excluindo IVA)"
"Cash on Delivery fee (Incl.Tax)","Taxa para pagamento na entrega (imposto incluído)"
"Cash on Delivery fee %s","Taxa para pagamento na entrega %s"
"Cost calculation","Cálculo de custo"
"Cost calculation base","Base de cálculo de custos"
"Costs for inland shipping","Custo de transporte doméstico"
"Costs for inland shipping (minimum)","Custo de transporte doméstico (mínimo)"
"Costs for shipping to foreign countries","Custo de transporte internacional"
"Costs for shipping to foreign countries (minimum)","Custo de transporte internacional (mínimo)"
"Custom text for checkout page","Texto personalizado para o carrinho"
"Display Zero Fee","Mostrar taxa de zero"
"Fixed","Fixo"
"Incl. Tax","Impostos incluídos"
"Percentage","Percentagem"
"Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation.","Por favor, introduza o código de atributo sales_flat_quote_address cujo valor é tomado como base para o cálculo dos custos."
"Refund Cash on Delivery fee","Reembolso em dinheiro na taxa de entrega"
"You will be charged an extra fee of %s.","Será cobrada uma taxa extra de %s."
"Disallow specific shipping methods","Excluir métodos específicos de entrega"
"Disallowed shipping methods","Métodos de entrega excludidos"
"Invoice Order","Criação de fatura automática"
